Trial,bfs,bfs (cost),dfs,dfs (cost),dijkstras,dijkstras (cost),aStar,aStar (cost),bidirectional,bidirectional (cost),greedy,greedy (cost)
186,0.0008429999579675496,403.6158552555925,0.0009141000336967409,8106.984336560069,0.03649520000908524,385.1875524869361,0.07014189998153597,385.1875524869361,0.014587200013920665,399.52500968004165,0.0008909000316634774,401.96052928693115
187,0.0003589999978430569,231.0916248097953,0.0003595000016503036,9046.558870573337,0.016090699995402247,223.58890319371565,0.023002200003247708,223.58890319371565,0.0023212999803945422,239.0002487918898,0.000528500007931143,240.1020910949212
188,0.0010079999919980764,313.95952694447493,0.00033219996839761734,7868.8929873269035,0.03457299998262897,296.5602321736537,0.07125570002244785,296.5602321736537,0.009142199996858835,318.4977301492937,0.0008708999957889318,344.569164568229
189,0.0003684999537654221,215.5767924945362,0.00034139998024329543,8569.33204199308,0.01606649998575449,211.84328526535182,0.006839199981186539,211.84328526535182,0.002446700003929436,216.14266022604698,0.0008507000165991485,216.35773028309194
190,0.0007651000050827861,228.0536467253858,0.0002250999677926302,7564.603716738798,0.014749799971468747,220.93051243265484,0.01629030000185594,220.93051243265484,0.002813300001434982,227.79724134066095,0.0004181999829597771,232.0527746828417
191,0.0009464999893680215,453.62702637073176,0.00034139998024329543,8677.689043418597,0.04031320003559813,427.5446285636992,0.04482010001083836,427.5446285636992,0.015912899980321527,473.7235768807291,0.0012132000410929322,443.3863953638209
192,0.0002649999805726111,161.34368350142074,1.650000922381878e-05,622.6512707486221,0.00942750001559034,161.34368350142074,0.00822279998101294,161.34368350142074,0.001514200004749,184.47874283701697,0.0008341000066138804,171.30393426556026
193,0.0004741000011563301,205.75206387854888,0.00029960001120343804,8158.06624475721,0.021041000029072165,189.5094431307512,0.018462999956682324,189.5094431307512,0.004275399958714843,192.869113515877,0.0005106999888084829,203.2552793891776
194,0.000507500022649765,291.89138552761244,0.0005985999596305192,11270.495123043265,0.020137500017881393,252.0081743197512,0.017600999970454723,252.0081743197512,0.007754299964290112,268.26770551800996,0.0005744000081904233,270.4806083332864
195,3.589998232200742e-05,63.54029749124645,1.260003773495555e-05,413.97136509677904,0.0030980000155977905,62.47909894333357,0.0007935999892652035,62.47909894333357,5.930004408583045e-05,63.93327215363057,0.00019109999993816018,62.76135202912286
196,0.0004895000020042062,290.700928735818,0.0004794999840669334,11694.413682884038,0.02249230002053082,277.54277342098993,0.051877800025977194,277.54277342098993,0.005371200037188828,290.8771174535402,0.03982700000051409,-1
197,0.0008722000056877732,339.0973955001774,0.0004249000339768827,5443.740581133704,0.03533329995116219,316.7762281753188,0.04517519997898489,316.7762281753188,0.01399820001097396,337.16601615055805,0.0010269000194966793,321.5934404349764
198,0.00033300003269687295,234.85510241375783,0.0004997000214643776,10538.29241814901,0.012237099988851696,220.88919782365514,0.03740410000318661,220.88919782365514,0.0034117999603040516,234.08675738677945,0.0005062000127509236,231.87502354828368
199,0.0003497999859973788,179.12630925111287,0.00033190002432093024,4307.069542976957,0.014636499981861562,166.406875955786,0.01897059998009354,166.406875955786,0.0026206999900750816,181.69858773514267,0.0005314000300131738,188.17833833218333
200,0.00041849998524412513,227.60835410687076,3.0199997127056122e-05,1200.3624701978742,0.016581800009589642,204.60319569321936,0.014850399980787188,204.60319569321936,0.0048334000166505575,228.85104335685338,0.0005434999475255609,217.30252629080988
201,0.0011735999723896384,519.3017216744059,0.0005979000125080347,9193.507772493003,0.036421499971766025,475.2784245817274,0.1129186000325717,475.2784245817274,0.015168400015681982,505.25854846383356,0.0013936000177636743,530.3870710709549
202,0.00034199998481199145,264.0966398396423,0.0005183999892324209,10615.7418114042,0.013806700007990003,242.26128339196367,0.022137299994938076,242.26128339196367,0.004408400040119886,269.4640283658034,0.0007229000329971313,249.41410053636827
203,0.0007231999770738184,345.243035398841,0.00044490001164376736,12235.128453653697,0.028348099964205176,316.6924520648019,0.05545909999636933,316.6924520648019,0.011635800008662045,335.87186179958667,0.0010028000106103718,331.5039327163977
204,0.0003714000340551138,207.43390475587694,0.00041959999362006783,10929.745021650182,0.015068100008647889,190.76896887391086,0.012365999980829656,190.76896887391086,0.0032404999947175384,214.10279612950518,0.0004097999772056937,196.10218004203668
205,0.0005052000051364303,199.75564462909887,0.000674300012178719,10775.77098065645,0.02070669998647645,179.09877800793353,0.011762999987695366,179.09877800793353,0.002978999982587993,197.9938562970951,0.0003831000067293644,195.04662717777995
206,4.700035788118839e-06,45.88196022818417,3.200024366378784e-06,45.88196022818417,0.0009525999776087701,45.88196022818417,0.0003040999872609973,45.88196022818417,1.379998866468668e-05,45.88196022818417,6.719998782500625e-05,45.88196022818417
207,0.0008796000038273633,288.14282841581047,0.0007359000155702233,11249.059284685556,0.02935929998056963,259.8597364099117,0.03458199999295175,259.8597364099117,0.00908669998170808,284.0388279368116,0.0010717000113800168,267.29899591027936
208,0.000646500033326447,345.34677342325864,0.00016329996287822723,5533.873273394243,0.02630730002420023,302.04483741154905,0.030969400017056614,302.04483741154905,0.006745200022123754,327.23283784393504,0.000763599993661046,318.18086791588604
209,0.0007688000332564116,389.77822209810705,0.00036830001045018435,10198.3086160202,0.03530940000200644,379.8304868496377,0.07803030003560707,379.8304868496377,0.013137899979483336,385.29996759889514,0.03450789995258674,-1
210,0.0001556000206619501,134.38716310800146,0.0004149000160396099,9237.196703396545,0.005085900018457323,118.15953060448138,0.0034844999900087714,118.15953060448138,0.0004262000438757241,122.90306864602984,0.0002533000078983605,118.15953060448138
211,0.00043760001426562667,196.63147461370548,0.000395399983972311,9395.848381315913,0.0133847999968566,168.17509107214312,0.005393599974922836,168.17509107214312,0.002278300002217293,186.5828095113509,0.0004668000037781894,179.8935883081813
212,0.0009442999726161361,346.6605142464748,0.00016580004012212157,5956.21246632096,0.036418800009414554,309.1374328738316,0.0706215999671258,309.1374328738316,0.011620500008575618,341.0679885889768,0.0007587000145576894,321.8782238633847
213,0.0005277000018395483,286.23135432048906,0.0005409999866969883,11135.793610713825,0.02421980001963675,269.9936460824693,0.034529399999883026,269.9936460824693,0.00833700003568083,284.6763239938919,0.0006609000265598297,282.875845778415
214,0.0007064000237733126,261.6500447074686,0.00016740005230531096,4662.858910615237,0.03366820001974702,243.3933745247003,0.02604369999608025,243.3933745247003,0.006844900024589151,258.8263955418148,0.0007149999728426337,261.1944097638998
215,7.200002437457442e-05,70.8815059933493,0.010459300014190376,8485.062465759936,0.003977100015617907,70.47248020444415,0.0009646000107750297,70.47248020444415,0.00013860000763088465,70.47248020444417,0.0002046999870799482,70.83884941978032
216,0.00010469998233020306,87.572482214493,0.0006966000073589385,6109.13907415438,0.00556200003484264,86.15116981255893,0.002439900010358542,86.15116981255893,0.0002812999882735312,87.64883726913224,0.00025079998886212707,86.1554018686097
217,0.001108399999793619,228.51984710957242,3.430002834647894e-05,1253.3712922463903,0.025598399981390685,219.08403303608654,0.009003899991512299,219.08403303608654,0.004603800014592707,223.0889885140471,0.0005695000290870667,222.3815705570848
218,0.00020910002058371902,147.98217527105484,0.00029559998074546456,5987.3169385273595,0.010065100039355457,135.57106696762062,0.004877800005488098,135.57106696762062,0.000804100011009723,144.4116983390742,0.00032540003303438425,144.61378855847062
219,8.620001608505845e-05,113.77563388796655,5.219999002292752e-05,867.5892221155632,0.0034630000009201467,107.10905872083865,0.0029591999482363462,107.10905872083865,0.00021769996965304017,112.55299048965897,0.00021810003090649843,108.2411272018159
220,0.0003556999727152288,275.7573890315183,0.00034550001146271825,9631.86120926529,0.014225099992472678,255.67974119702603,0.015917400014586747,255.67974119702603,0.004997000040020794,271.2325443911735,0.02837000001454726,-1
221,0.0009876000112853944,589.0949508775041,4.079996142536402e-05,1613.495202057829,0.03522839996730909,515.7476216739464,0.2624053999898024,515.7476216739464,0.01798810000764206,580.3797215587826,0.0011061999830417335,564.8483053162698
222,0.0009435000247322023,453.4957421422816,0.0010598000371828675,12055.622788944958,0.041857599979266524,418.01889986445997,0.09637799998745322,418.01889986445997,0.01636130001861602,450.23559603264687,0.0010432999697513878,443.1757719466927
223,0.00046119996113702655,282.9662347284705,0.0008608999778516591,8490.406672714245,0.019051200011745095,267.1407683453623,0.026238099962938577,267.1407683453623,0.0039234000141732395,280.2821139654799,0.0004928000271320343,276.56266240446695
224,0.0007282000151462853,292.4611894520466,5.4800009820610285e-05,1919.2528395646546,0.028055100003257394,279.24350311350156,0.02305969997541979,279.24350311350156,0.010271199978888035,307.2649751500902,0.0006566000520251691,322.3042912031512
225,0.0008778999908827245,312.30336302505435,0.0008415000047534704,8674.859483921358,0.03875139995943755,284.83800709589127,0.025066100002732128,284.83800709589127,0.012647799972910434,316.3515012681794,0.000705299957189709,305.7307422114888
226,5.400041118264198e-06,19.235384061671343,0.0007767999777570367,9361.089426839955,0.0010273000225424767,19.235384061671343,0.00023579999106004834,19.235384061671343,8.700008038431406e-06,19.235384061671343,0.00010070001007989049,19.235384061671343
