Algorithm,Time (ms),Cost
aStar,146.42559999992955,478.1393734043495
bidirectional,16.79080000030808,521.2347330973702
greedy,1.2647000003198627,515.6345073184478
bfs,0.45250000039231963,233.79517135160341
dfs,0.36270000055083074,8645.771976480386
dijkstras,18.62249999976484,216.83168968577377
aStar,12.133299998822622,216.83168968577377
bidirectional,4.068999998708023,230.86779735035933
greedy,0.6443999991461169,233.35832187932476
bfs,0.7452999998349696,263.4348111482896
dfs,1.0943999986920971,12090.766008979577
dijkstras,36.76089999862597,257.3109820252624
aStar,28.10469999894849,257.3109820252624
bidirectional,8.591199999500532,274.25940988337726
greedy,17.0548999994935,-1
bfs,0.8110000017040875,407.2234659743858
dfs,0.0684000006003771,2406.672068051657
dijkstras,47.71520000213059,385.0616157976864
aStar,103.63430000143126,385.0616157976864
bidirectional,17.784100000426406,401.5596895515006
greedy,1.481499999499647,404.1686710474568
bfs,0.4023000001325272,273.7456821330162
dfs,0.06319999738479964,1986.3585975820681
dijkstras,21.820000001753215,266.93626609507334
aStar,26.91699999923003,266.93626609507334
bidirectional,5.611399999907007,271.9763521516287
greedy,0.7866999985708389,288.3504761694048
bfs,0.047500001528533176,92.24642469497716
dfs,0.3339000031701289,7960.758649212638
dijkstras,4.809000001841923,70.39421976170146
aStar,2.684300001419615,70.39421976170146
bidirectional,0.10199999815085903,83.12130613919965
greedy,0.1680999994277954,70.39421976170146
bfs,0.03149999974993989,64.90030812429245
dfs,0.03090000245720148,1210.6361529824815
dijkstras,3.3569000006536953,55.557471074632936
aStar,0.8699999998498242,55.557471074632936
bidirectional,0.03690000085043721,57.091691756963016
greedy,0.1823999991756864,58.291723114103604
bfs,0.7716000000073109,351.190938559359
dfs,0.46600000132457353,10908.143082108092
dijkstras,39.5505000014964,336.6839248949247
aStar,53.926399999909336,336.6839248949247
bidirectional,18.29169999837177,340.4053938028484
greedy,1.0163000006286893,350.87010395312285
bfs,0.8314000006066635,220.12150742788475
dfs,0.965900002483977,11357.98960701862
dijkstras,28.66119999816874,178.7799613380497
aStar,21.501300001546042,178.7799613380497
bidirectional,5.1281000014569145,201.3897936236114
greedy,0.7551000016974285,219.2385068900435
bfs,0.9307999971497338,449.67054229301544
dfs,0.5827999993925914,10351.584000557077
dijkstras,38.26149999804329,413.4891900234916
aStar,85.14709999872139,413.4891900234916
